,ip,hostnames,ntp_product,ntp_stratum,ntp_version,ntp_precision,ntp_rootdelay,ntp_rootdisp,ntp_ref_id
0,46.40.215.180,unknown,ntpd,16,"""4""",-10,0.0,28.660293579101562,INIT
1,216.186.108.246,bdi5.shelton-k12.infra.wa-k20.net,ntpd,4,4,-10,0.00372314453125,0.0153961181640625,68.179.206.41
2,169.204.239.157,unknown,ntpd,4,4,-10,0.0087432861328125,0.0282135009765625,68.179.206.41
3,169.204.239.29,unknown,ntpd,4,4,-10,0.008758544921875,0.008087158203125,68.179.206.41
4,54.193.145.95,ec2-54-193-145-95.us-west-1.compute.amazonaws.com,ntpd,1,4,-20,0.0,0.0,1280262988
5,84.36.163.175,elsewedysteel.com,ntpd,0,3,-16,0.0,1.52587890625e-05,0
6,111.95.244.202,fm-dyn-111-95-244-202.fast.net.id,ntpd,4,3,-23,0.0130157470703125,0.0895843505859375,3394068919
7,69.174.252.102,unknown,ntpd,3,3,-24,0.0388336181640625,0.0148773193359375,3629261683
8,154.160.90.153,unknown,ntpd,16,4,-10,0.0,1.0519561767578125,INIT
9,106.51.64.95,106.51.64.95.actcorp.in,ntpd,3,ntpd 4.2.8p17@1.4004-o Fri Dec  8 16:52:11 UTC 2023 (1),-23,0.040863037109375,0.0234222412109375,13.126.27.131
10,81.173.54.17,a81-173-54-17.dsl.pocosnet.nl,ntpd,2,4,-22,0.0032958984375,0.018463134765625,193.67.79.202
11,195.168.74.17,a1.huste-stefanikova6.pp.cust.gts.sk,ntpd,3,"""4""",-10,0.0075836181640625,0.039825439453125,217.75.71.197
12,66.231.96.234,unknown,ntpd,4,4,-21,0.00177001953125,0.1466064453125,66.231.102.254
13,115.244.254.226,unknown,ntpd,0,3,-18,0.0,1.0000152587890625,0
14,185.66.200.167,joytech.cz,ntpd,3,3,-23,0.0046234130859375,0.024444580078125,3111188803
15,128.14.39.120,unknown,ntpd,2,3,-23,0.2498626708984375,0.024993896484375,2225299716
16,41.181.169.144,unknown,ntpd,0,3,-24,0.0,38.75660705566406,1229867348
17,12.47.213.97,unknown,ntpd,4,3,-10,0.109710693359375,0.02783203125,2270796435
18,103.249.28.168,unknown,ntpd,4,3,-23,0.004730224609375,0.0028533935546875,1024381790
19,41.173.188.109,unknown,ntpd,3,3,-23,0.07781982421875,0.0250091552734375,699347255
20,194.177.251.122,host-251-122.greennet.gl,ntpd,2,3,-10,0.0609893798828125,0.0403900146484375,3639550720
21,68.179.204.148,"oakville-k12.infra.wa-k20.net, lo0.oakville-k12.infra.wa-k20.net",ntpd,4,3,-10,0.0047454833984375,0.0420074462890625,1152634409
22,212.156.209.27,212.156.209.27.static.turktelekom.com.tr,ntpd,0,3,-16,0.0,1.52587890625e-05,0
23,72.10.97.23,unknown,ntpd,1,3,-6,0.00390625,0.00390625,0
24,43.255.54.160,unknown,ntpd,2,3,-23,0.195281982421875,1.59075927734375,2225299457
25,169.148.149.142,unknown,ntpd,3,3,-6,0.2816925048828125,0.014984130859375,3495653436
26,212.154.9.81,81.9.154.212.static.turk.net,ntpd,4,3,-16,0.0153350830078125,0.0103607177734375,171048962
27,95.60.93.58,static-58-93-60-95.ipcom.comunitel.net,ntpd,0,3,-16,0.0,1.52587890625e-05,0
28,5.42.248.138,unknown,ntpd,2,4,-10,0.1276092529296875,0.0177459716796875,213.140.34.8
29,175.210.154.212,unknown,ntpd,2,3,0,0.0,0.0,0
30,202.29.5.67,unknown,ntpd,3,3,-6,0.201171875,0.0112457275390625,3495653439
31,140.254.29.127,unknown,ntpd,2,3,-6,0.0258331298828125,0.003265380859375,2157064202
32,88.214.82.22,88-214-82-22.vf-ua.net,ntpd,2,3,-24,0.0079803466796875,0.0129547119140625,1777350689
33,195.11.72.189,unknown,ntpd,3,4,-10,0.0582427978515625,0.035186767578125,178.79.158.157
34,68.179.204.62,"lo0.esd113-k12.infra.wa-k20.net, esd113-k12.infra.wa-k20.net",ntpd,4,4,-10,0.0037384033203125,0.0732574462890625,68.179.206.41
35,109.80.80.102,109-80-80-102.rcr.o2.cz,ntpd,4,3,-16,0.1062164306640625,0.0613555908203125,3269767354
36,185.86.191.217,unknown,ntpd,3,4,-10,0.0070648193359375,0.01715087890625,10.201.135.176
37,93.62.144.203,93-62-144-203.ip22.fastwebnet.it,ntpd,2,3,-22,0.039215087890625,0.0100860595703125,1439159907
38,82.136.122.142,pub082136122142.dh-hfc.datazug.ch,ntpd,3,4,-10,0.0090179443359375,0.0212249755859375,212.4.64.20
39,51.158.104.180,180-104-158-51.instances.scw.cloud,ntpd,16,ntpd 4.2.8p4@1.3265-o Tue Jan  7 15:08:23 UTC 2020 (1),-23,0.0,645.7814483642578,INIT
40,50.218.156.122,unknown,ntpd,4,3,-6,0.0684051513671875,0.021087646484375,3495653437
41,128.227.6.65,unknown,ntpd,3,4,-10,0.0003814697265625,0.0335693359375,128.227.30.238
42,200.0.42.34,200-0-42-34.brdigital.net.br,ntpd,12,ntpd 4.2.8p18@1.4062-o Mon Aug  4 22:02:19 UTC 2025 (1),-24,0.0,0.0,127.0.0.1
